Expediente Caso;Expediente Víctima;CAVD;Comuna Delito;Fecha Ingreso;Mes Ingreso;Año Ingreso;Fecha Finalización;Mes Finalización;Año Finalización
NULL;VBQA0478;01 Arica;Arica;13-06-2013;6;2013;13-06-2013;6;2013
NULL;VBQA0564;01 Arica;Arica;13-06-2013;6;2013;13-06-2013;6;2013
NULL;VBQA10711;01 Arica;Arica;20-01-2014;1;2014;20-01-2014;1;2014
NULL;VBQA10715;01 Arica;Arica;27-01-2014;1;2014;27-01-2014;1;2014
NULL;VBQA10717;01 Arica;Arica;29-01-2014;1;2014;29-01-2014;1;2014
NULL;VBQA10719;01 Arica;Arica;29-01-2014;1;2014;29-01-2014;1;2014
NULL;VBQA10742;01 Arica;Arica;29-01-2014;1;2014;29-01-2014;1;2014
NULL;VBQA10901;01 Arica;Arica;12-02-2014;2;2014;12-02-2014;2;2014
NULL;VBQA10902;01 Arica;Arica;17-02-2014;2;2014;17-02-2014;2;2014
NULL;VBQA10903;01 Arica;Arica;18-02-2014;2;2014;18-02-2014;2;2014
NULL;VBQA10904;01 Arica;Arica;18-02-2014;2;2014;18-02-2014;2;2014
NULL;VBQA11952;01 Arica;Arica;12-02-2014;2;2014;12-02-2014;2;2014
NULL;VBQA11953;01 Arica;Arica;12-02-2014;2;2014;12-02-2014;2;2014
NULL;VBQA11987;01 Arica;Arica;24-02-2014;2;2014;24-02-2014;2;2014
NULL;VBQA11988;01 Arica;Arica;24-02-2014;2;2014;24-02-2014;2;2014
NULL;VBQA12123;01 Arica;Arica;04-03-2014;3;2014;04-03-2014;3;2014
NULL;VBQA12124;01 Arica;Arica;04-03-2014;3;2014;04-03-2014;3;2014
NULL;VBQA12148;01 Arica;Arica;03-03-2014;3;2014;03-03-2014;3;2014
NULL;VBQA12194;01 Arica;Arica;07-03-2014;3;2014;07-03-2014;3;2014
NULL;VBQA12258;01 Arica;Arica;13-03-2014;3;2014;13-03-2014;3;2014
NULL;VBQA12285;01 Arica;Arica;17-03-2014;3;2014;17-03-2014;3;2014
NULL;VBQA12317;01 Arica;Arica;19-03-2014;3;2014;19-03-2014;3;2014
