Nº de Caso;CAVD;Expedientes;Fecha Ingreso;Mes Ingreso;Año Ingreso;Fecha de Delito;Año de Delito;Mes de Delito;Comuna Delito;Fecha de Finalización;Año de Finalización;Mes de Finalización;Año Reporte;Región Delito
CBQA0342;01 Arica;CBQA0342, ;02-12-2016;12;2016;28-11-2016 0:00;2016;11;Arica;17-12-2016;2016;12;2016;XV Región de Arica y Parinacota
CBQA0343;01 Arica;NULL;05-12-2016;12;2016;03-12-2016 0:00;2016;12;Arica;20-12-2016;2016;12;2016;XV Región de Arica y Parinacota
CBQA0344;01 Arica;NULL;13-12-2016;12;2016;11-12-2016 0:00;2016;12;Arica;28-12-2016;2016;12;2016;XV Región de Arica y Parinacota
CBQA0345;01 Arica;NULL;15-12-2016;12;2016;No definido;No definido;No definido;Arica;30-12-2016;2016;12;2016;XV Región de Arica y Parinacota
CBQA0346;01 Arica;NULL;19-12-2016;12;2016;10-12-2016 0:00;2016;12;Arica;03-01-2017;2017;1;2016;XV Región de Arica y Parinacota
CBQA0347;01 Arica;CBQA0347, ;21-12-2016;12;2016;No definido;No definido;No definido;Arica;07-02-2017;2017;2;2016;XV Región de Arica y Parinacota
CBQA0348;01 Arica;NULL;21-12-2016;12;2016;No definido;No definido;No definido;Arica;05-01-2017;2017;1;2016;XV Región de Arica y Parinacota
CBQA0349;01 Arica;CBQA0349, ;22-12-2016;12;2016;No definido;No definido;No definido;Arica;06-01-2017;2017;1;2016;XV Región de Arica y Parinacota
CBQA0350;01 Arica;NULL;03-01-2017;1;2017;No definido;No definido;No definido;Arica;18-01-2017;2017;1;2017;XV Región de Arica y Parinacota
CBQA0351;01 Arica;CBQA0351, ;04-01-2017;1;2017;01-01-2017 0:00;2017;1;Arica;19-01-2017;2017;1;2017;XV Región de Arica y Parinacota
CBQA0352;01 Arica;CBQA0352, ;10-01-2017;1;2017;05-01-2017 0:00;2017;1;Arica;25-01-2017;2017;1;2017;XV Región de Arica y Parinacota
CBQA0353;01 Arica;CBQA0353, ;10-01-2017;1;2017;08-01-2017 0:00;2017;1;Arica;09-02-2017;2017;2;2017;XV Región de Arica y Parinacota
CBQA0354;01 Arica;NULL;10-01-2017;1;2017;08-01-2017 0:00;2017;1;Arica;25-01-2017;2017;1;2017;XV Región de Arica y Parinacota
CBQA0355;01 Arica;NULL;11-01-2017;1;2017;No definido;No definido;No definido;Arica;07-02-2017;2017;2;2017;XV Región de Arica y Parinacota
CBQA0356;01 Arica;CBQA0356, ;12-01-2017;1;2017;No definido;No definido;No definido;Arica;09-02-2017;2017;2;2017;XV Región de Arica y Parinacota
CBQA0357;01 Arica;NULL;12-01-2017;1;2017;No definido;No definido;No definido;Arica;07-02-2017;2017;2;2017;XV Región de Arica y Parinacota
CBQA0358;01 Arica;CBQA0358, ;16-01-2017;1;2017;14-01-2017 0:00;2017;1;Arica;09-02-2017;2017;2;2017;XV Región de Arica y Parinacota
CBQA0359;01 Arica;NULL;24-01-2017;1;2017;18-01-2017 0:00;2017;1;Arica;08-02-2017;2017;2;2017;XV Región de Arica y Parinacota
