comuna;region;provincia;id;distrito
-;Sin información;Sin información;Sin información;Sin información
Río Ibáñez;Aysén;General Carrera;11402;27
Alto Bío Bío;Biobío;Biobío;8314;21
Cochrane;Aysén;Capitan Prat;11301;27
Guaitecas;Aysén;Aisén;11203;27
Antofagasta;Antofagasta;Antofagasta;2101;3
Calama;Antofagasta;El Loa;2201;3
Mejillones;Antofagasta;Antofagasta;2102;3
Taltal;Antofagasta;Antofagasta;2104;3
Tocopilla;Antofagasta;Tocopilla;2301;3
San Pedro de Atacama;Antofagasta;El Loa;2203;3
Sierra Gorda;Antofagasta;Antofagasta;2103;3
María Elena;Antofagasta;Tocopilla;2302;3
Arica;Arica y Parinacota;Arica;15101;1
Putre;Arica y Parinacota;Parinacota;15201;1
Camarones;Arica y Parinacota;Arica;15102;1
Copiapó;Atacama;Copiapó;3101;4
Diego de Almagro;Atacama;Chañaral;3202;4
Caldera;Atacama;Copiapó;3102;4
Vallenar;Atacama;Huasco;3301;4
Tierra Amarilla;Atacama;Copiapó;3103;4
Alto del Carmen;Atacama;Huasco;3302;4
Huasco;Atacama;Huasco;3304;4
Freirina;Atacama;Huasco;3303;4
Chañaral;Atacama;Chañaral;3201;4
La Serena;Coquimbo;Elqui;4101;5
Ovalle;Coquimbo;Limari;4301;5
Coquimbo;Coquimbo;Elqui;4102;5
Vicuña;Coquimbo;Elqui;4106;5
Punitaqui;Coquimbo;Limari;4304;5
Monte Patria;Coquimbo;Limari;4303;5
La Higuera;Coquimbo;Elqui;4104;5
Illapel;Coquimbo;Choapa;4201;5
Salamanca;Coquimbo;Choapa;4204;5
Andacollo;Coquimbo;Elqui;4103;5
Los Vilos;Coquimbo;Choapa;4203;5
Río Hurtado;Coquimbo;Limari;4305;5
Combarbalá;Coquimbo;Limari;4302;5
Aysén;Aysén;Aisén;11201;27
Canela;Coquimbo;Choapa;4202;5
Collipulli;La Araucanía;Malleco;9202;22
Lautaro;La Araucanía;Cautín;9108;22
Victoria;La Araucanía;Malleco;9211;22
Angol;La Araucanía;Malleco;9201;22
Padre Las Casas;La Araucanía;Cautín;9112;23
Nueva Imperial;La Araucanía;Cautín;9111;23
Renaico;La Araucanía;Malleco;9209;22
Temuco;La Araucanía;Cautín;9101;23
Cunco;La Araucanía;Cautín;9103;23
Villarrica;La Araucanía;Cautín;9120;23
Vilcún;La Araucanía;Cautín;9119;22
Curacautín;La Araucanía;Malleco;9203;22
Loncoche;La Araucanía;Cautín;9109;23
Carahue;La Araucanía;Cautín;9102;23
Toltén;La Araucanía;Cautín;9118;23
Pucón;La Araucanía;Cautín;9115;23
Purén;La Araucanía;Malleco;9208;22
Gorbea;La Araucanía;Cautín;9107;23
Pitrufquén;La Araucanía;Cautín;9114;23
Cholchol;La Araucanía;Cautín;9121;23
Freire;La Araucanía;Cautín;9105;23
Traiguén;La Araucanía;Malleco;9210;22
Teodoro Schmidt;La Araucanía;Cautín;9117;23
Lonquimay;La Araucanía;Malleco;9205;22
Galvarino;La Araucanía;Cautín;9106;22
Lumaco;La Araucanía;Malleco;9207;22
Ercilla;La Araucanía;Malleco;9204;22
Melipeuco;La Araucanía;Cautín;9110;22
Los Sauces;La Araucanía;Malleco;9206;22
Saavedra;La Araucanía;Cautín;9116;23
Osorno;Los Lagos;Osorno;10301;24
Castro;Los Lagos;Chiloé;10201;25
Puerto Montt;Los Lagos;Llanquihue;10101;25
San Juan de la Costa;Los Lagos;Osorno;10306;24
Chonchi;Los Lagos;Chiloé;10203;25
Los Muermos;Los Lagos;Llanquihue;10106;24
Frutillar;Los Lagos;Llanquihue;10105;24
Calbuco;Los Lagos;Llanquihue;10102;25
Puerto Varas;Los Lagos;Llanquihue;10109;24
Quellón;Los Lagos;Chiloé;10208;25
Chaitén;Los Lagos;Palena;10401;25
Maullín;Los Lagos;Llanquihue;10108;25
Cochamó;Los Lagos;Llanquihue;10103;25
San Pablo;Los Lagos;Osorno;10307;24
Ancud;Los Lagos;Chiloé;10202;25
Hualaihué;Los Lagos;Palena;10403;25
Fresia;Los Lagos;Llanquihue;10104;24
Quinchao;Los Lagos;Chiloé;10210;25
Llanquihue;Los Lagos;Llanquihue;10107;24
Purranque;Los Lagos;Osorno;10303;24
Río Negro;Los Lagos;Osorno;10305;24
Dalcahue;Los Lagos;Chiloé;10205;25
Curaco de Vélez;Los Lagos;Chiloé;10204;25
Puerto Octay;Los Lagos;Osorno;10302;24
Puyehue;Los Lagos;Osorno;10304;24
Valdivia;Los Rios;Valdivia;14101;24
Lanco;Los Rios;Valdivia;14103;24
Panguipulli;Los Rios;Valdivia;14108;24
Futrono;Los Rios;Ranco;14202;24
Río Bueno;Los Rios;Ranco;14204;24
Mariquina;Los Rios;Valdivia;14106;24
Lago Ranco;Los Rios;Ranco;14203;24
Los Lagos;Los Rios;Valdivia;14104;24
Paillaco;Los Rios;Valdivia;14107;24
La Unión;Los Rios;Ranco;14201;24
Máfil;Los Rios;Valdivia;14105;24
Punta Arenas;Magallanes;Magallanes;12101;28
Porvenir;Magallanes;Tierra del Fuego;12301;28
Natales;Magallanes;Ultima Esperanza;12401;28
Iquique;Tarapacá;Iquique;1101;2
Alto Hospicio;Tarapacá;Iquique;1107;2
Pica;Tarapacá;Tamarugal;1405;2
Pozo Almonte;Tarapacá;Tamarugal;1401;2
Colchane;Tarapacá;Tamarugal;1403;2
Algarrobo;Valparaíso;San Antonio;5602;7
Cabildo;Valparaíso;Petorca;5402;6
Calle Larga;Valparaíso;Los Andes;5302;6
Cartagena;Valparaíso;San Antonio;5603;7
Casablanca;Valparaíso;Valparaíso;5102;7
Catemu;Valparaíso;San Felipe;5702;6
Concon;Valparaíso;Valparaíso;5103;7
Concón;Valparaíso;Valparaíso;5103;7
El Quisco;Valparaíso;San Antonio;5604;7
El Tabo;Valparaíso;San Antonio;5605;7
Coyhaique;Aysén;Coihaique;11101;27
Hijuelas;Valparaíso;Quillota;5503;6
Isla de Pascua;Valparaíso;Isla de Pascua;5201;7
Juan Fernández;Valparaíso;Valparaíso;5104;7
La Calera;Valparaíso;Quillota;5502;6
La Cruz;Valparaíso;Quillota;5504;6
La Ligua;Valparaíso;Petorca;5401;6
Limache;Valparaíso;Marga Marga;5802;6
Llay Llay;Valparaíso;San Felipe;5703;6
Llayllay;Valparaíso;San Felipe;5703;6
Los Andes;Valparaíso;Los Andes;5301;6
Nogales;Valparaíso;Quillota;5506;6
Olmué;Valparaíso;Marga Marga;5803;6
Panquehue;Valparaíso;San Felipe;5704;6
Papudo;Valparaíso;Petorca;5403;6
Petorca;Valparaíso;Petorca;5404;6
Puchuncaví;Valparaíso;Valparaíso;5105;6
Putaendo;Valparaíso;San Felipe;5705;6
Quillota;Valparaíso;Quillota;5501;6
Quilpué;Valparaíso;Marga Marga;5801;6
Quintero;Valparaíso;Valparaíso;5107;6
Rinconada;Valparaíso;Los Andes;5303;6
San Antonio;Valparaíso;San Antonio;5601;7
San Esteban;Valparaíso;Los Andes;5304;6
San Felipe;Valparaíso;San Felipe;5701;6
Santa María;Valparaíso;San Felipe;5706;6
Coronel;Biobío;Concepción;8102;20
Chiguayante;Biobío;Concepción;8103;20
Concepción;Biobío;Concepción;8101;20
Los Ángeles;Biobío;Biobío;8301;21
San Pedro de La Paz;Biobío;Concepción;8108;20
Talcahuano;Biobío;Concepción;8110;20
Hualpén;Biobío;Concepción;8112;20
Arauco;Biobío;Arauco;8202;21
San Rosendo;Biobío;Biobío;8310;21
Antuco;Biobío;Biobío;8302;21
Penco;Biobío;Concepción;8107;20
Nacimiento;Biobío;Biobío;8306;21
Los Álamos;Biobío;Arauco;8206;21
Tomé;Biobío;Concepción;8111;20
Hualqui;Biobío;Concepción;8105;20
Tucapel;Biobío;Biobío;8312;21
Mulchén;Biobío;Biobío;8305;21
Yumbel;Biobío;Biobío;8313;21
Curanilahue;Biobío;Arauco;8205;21
Lota;Biobío;Concepción;8106;21
Florida;Biobío;Concepción;8104;20
Lebu;Biobío;Arauco;8201;21
Quilleco;Biobío;Biobío;8309;21
Cañete;Biobío;Arauco;8203;21
Santa Juana;Biobío;Concepción;8109;20
Laja;Biobío;Biobío;8304;21
Cabrero;Biobío;Biobío;8303;21
Santa Bárbara;Biobío;Biobío;8311;21
Tirúa;Biobío;Arauco;8207;21
Negrete;Biobío;Biobío;8307;21
Quilaco;Biobío;Biobío;8308;21
Contulmo;Biobío;Arauco;8204;21
Alto Biobío;Biobío;Biobío;8314;21
Rancagua;O'Higgins;Cachapoal;6101;15
Requínoa;O'Higgins;Cachapoal;6116;15
San Fernando;O'Higgins;Colchagua;6301;16
Rengo;O'Higgins;Cachapoal;6115;15
Machalí;O'Higgins;Cachapoal;6108;15
Santa Cruz;O'Higgins;Colchagua;6310;16
Malloa;O'Higgins;Cachapoal;6109;15
Graneros;O'Higgins;Cachapoal;6106;15
Doñihue;O'Higgins;Cachapoal;6105;15
Pichilemu;O'Higgins;Cardenal Caro;6201;16
Chimbarongo;O'Higgins;Colchagua;6303;16
San Vicente;O'Higgins;Cachapoal;6117;16
Nancagua;O'Higgins;Colchagua;6305;16
Codegua;O'Higgins;Cachapoal;6102;15
Mostazal;O'Higgins;Cachapoal;6110;15
Las Cabras;O'Higgins;Cachapoal;6107;16
Olivar;O'Higgins;Cachapoal;6111;15
Litueche;O'Higgins;Cardenal Caro;6203;16
Placilla;O'Higgins;Colchagua;6308;16
Quinta de Tilcoco;O'Higgins;Cachapoal;6114;15
Palmilla;O'Higgins;Colchagua;6306;16
Coltauco;O'Higgins;Cachapoal;6104;15
Pichidegua;O'Higgins;Cachapoal;6113;16
Peumo;O'Higgins;Cachapoal;6112;16
Peralillo;O'Higgins;Colchagua;6307;16
Chépica;O'Higgins;Colchagua;6302;16
Curaco;Los Lagos;Chiloé;10204;26
