N°;Fecha Recepción;Comuna Ocurrencia;Fecha Finalización;Tipo de Finalización
481785;31-12-2021;-;01-01-2022;Egreso (Orientación Entregada)
481786;31-12-2021;-;01-01-2022;Egreso (Difusión)
481789;31-12-2021;-;01-01-2022;Contacto con terceros
481798;01-01-2022;Santiago;01-01-2022;Egreso (Orientación Entregada)
481799;01-01-2022;Lampa;01-01-2022;Egreso (Orientación Entregada)
481800;01-01-2022;-;01-01-2022;Egreso (Orientación Entregada)
481804;01-01-2022;-;01-01-2022;Egreso (Orientación Entregada)
481805;01-01-2022;-;01-01-2022;Egreso (Orientación Entregada)
481788;31-12-2021;-;02-01-2022;Egreso (Orientación Entregada)
481790;31-12-2021;El Bosque;02-01-2022;Egreso (Orientación Entregada)
481802;02-01-2022;-;02-01-2022;Egreso (Orientación Entregada)
481803;02-01-2022;Chillán;02-01-2022;Egreso (Orientación Entregada)
481806;02-01-2022;Renca;02-01-2022;Egreso (Difusión)
481807;02-01-2022;Quilicura;02-01-2022;Egreso (Difusión)
481808;02-01-2022;Quilicura;02-01-2022;Contacto con terceros
481809;02-01-2022;Colina;02-01-2022;Egreso (Difusión)
481812;02-01-2022;Rancagua;02-01-2022;Egreso (Difusión)
481813;02-01-2022;Santiago;02-01-2022;Egreso (Orientación Entregada)
481818;02-01-2022;Maipú;02-01-2022;Egreso (Orientación Entregada)
481819;02-01-2022;Calera de Tango;02-01-2022;Egreso (Orientación Entregada)
481821;02-01-2022;San Bernardo;02-01-2022;Egreso (Orientación Entregada)
481822;02-01-2022;San Bernardo;02-01-2022;Egreso (Orientación Entregada)
481823;02-01-2022;Santiago;02-01-2022;Egreso (Orientación Entregada)
481824;02-01-2022;Quinta Normal;02-01-2022;Egreso (Orientación Entregada)
480949;24-12-2021;-;03-01-2022;Cierre sin contacto
481252;28-12-2021;-;03-01-2022;Cierre por proceso interrumpido
481265;28-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481266;28-12-2021;-;03-01-2022;Contacto con terceros
481267;28-12-2021;-;03-01-2022;Cierre sin contacto
481272;28-12-2021;-;03-01-2022;Cierre sin contacto
481311;28-12-2021;-;03-01-2022;Cierre sin contacto
481318;28-12-2021;-;03-01-2022;Cierre sin contacto
481369;28-12-2021;-;03-01-2022;Cierre sin contacto
481431;28-12-2021;-;03-01-2022;Cierre sin contacto
481501;29-12-2021;Macul;03-01-2022;Contacto con terceros
481502;29-12-2021;Recoleta;03-01-2022;Contacto con terceros
481508;29-12-2021;San Bernardo;03-01-2022;Cierre sin contacto
481518;29-12-2021;Recoleta;03-01-2022;Cierre sin contacto
481562;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481572;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481575;30-12-2021;-;03-01-2022;Egreso (Difusión)
481581;30-12-2021;-;03-01-2022;Contacto con terceros
481583;30-12-2021;-;03-01-2022;Egreso (Difusión)
481587;30-12-2021;-;03-01-2022;Egreso (Difusión)
481590;30-12-2021;-;03-01-2022;Cierre sin contacto
481592;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481593;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481595;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481596;30-12-2021;-;03-01-2022;Egreso (Difusión)
481597;30-12-2021;-;03-01-2022;Egreso (Difusión)
481600;30-12-2021;-;03-01-2022;Egreso (Difusión)
481611;30-12-2021;-;03-01-2022;Egreso (Difusión)
481632;30-12-2021;-;03-01-2022;Contacto con terceros
481661;30-12-2021;-;03-01-2022;Egreso (Difusión)
481663;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481668;30-12-2021;-;03-01-2022;Cierre por proceso interrumpido
481669;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481670;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481671;30-12-2021;-;03-01-2022;Cierre sin contacto
481673;30-12-2021;-;03-01-2022;Cierre sin contacto
481674;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481676;30-12-2021;-;03-01-2022;Cierre sin contacto
481680;30-12-2021;-;03-01-2022;Cierre sin contacto
481700;30-12-2021;Sin información;03-01-2022;Egreso (Difusión)
481702;30-12-2021;-;03-01-2022;Contacto con terceros
481703;30-12-2021;-;03-01-2022;Egreso (Difusión)
481707;30-12-2021;-;03-01-2022;Cierre sin contacto
481719;30-12-2021;Lo Espejo;03-01-2022;Egreso (Difusión)
481729;30-12-2021;Puente Alto;03-01-2022;Egreso (Orientación Entregada)
481738;30-12-2021;San Joaquín;03-01-2022;Derivación interna
481740;30-12-2021;Renca;03-01-2022;Egreso (Orientación Entregada)
481745;30-12-2021;Huechuraba;03-01-2022;Egreso (Orientación Entregada)
481761;31-12-2021;Santiago;03-01-2022;Cierre sin contacto
481765;31-12-2021;Huechuraba;03-01-2022;Contacto con terceros
481768;31-12-2021;Santiago;03-01-2022;Egreso (Orientación Entregada)
481775;31-12-2021;Peñalolén;03-01-2022;Egreso (Orientación Entregada)
481776;31-12-2021;Santiago;03-01-2022;Contacto con terceros
481777;31-12-2021;Peñalolén;03-01-2022;Contacto con terceros
481787;31-12-2021;-;03-01-2022;Contacto con terceros
481810;02-01-2022;Lampa;03-01-2022;Contacto con terceros
481811;02-01-2022;Lampa;03-01-2022;Egreso (Orientación Entregada)
481815;02-01-2022;Providencia;03-01-2022;Egreso (Orientación Entregada)
481816;03-01-2022;Maipú;03-01-2022;Egreso (Orientación Entregada)
481817;03-01-2022;Melipilla;03-01-2022;Contacto con terceros
481825;03-01-2022;-;03-01-2022;Egreso (Difusión)
